Amb_temp,Wind_speed,Yaw_direction,Rotor_rpm,Generator_rpm,Blade_angle_ref,Blade_angle_a,Blade_angle_b,Blade_angle_c,Blade_pres,Active_power,Reactive_power,Available_power
6,24.7,298,10.8,1303,30.5,30.7,30.8,30.5,197,2497,250,2563
6,24.7,298,10.8,1303,30.5,30.4,30.5,30.5,196,2477,250,2563
6,22.16,298,10.7,1283.5,30.2,30.4,30.5,30.4,196,2477,250,2561
6,22.16,298,10.7,1283.5,30.2,30.1,30.2,30.4,196,2477,252,2561
6,28.37,298,10.7,1309.6,30.1,30.1,30.2,30.1,196,2567,254,2561
6,28.81,298,10.7,1309.6,30.1,30.6,30.6,30.1,196,2514,260,2559
6,28.81,298,11.3,1361.9,30.5,30.6,30.6,30.5,196,2514,260,2559
6,30.58,298,11.3,1361.9,31,30.6,30.7,30.5,196,2652,261,2558
6,28.93,298,11.4,1361.9,31,31.1,30.7,30.5,196,2652,261,2553
6,28.93,298,11.4,1374.6,31.1,31.1,31.1,30.5,196,2652,261,2553
6,29.3,298,11.6,1374.6,31.1,31,31.1,30.9,196,2672,262,2553
6,29.3,298,11.6,1341.2,31.1,31,30.9,30.9,194,2672,262,2548
6,28.41,298,11.2,1341.2,30.9,30.9,30.9,30.9,194,2576,256,2548
6,28.41,298,11,1317,30.9,30.9,30.9,30.9,194,2576,256,2542
6,28.41,298,11,1317,30.9,30.9,30.9,30.8,194,2576,256,2542
6,29.35,298,11,1325.4,30.8,30.8,30.8,30.8,194,2568,256,2538
6,29.35,298,11.1,1325.4,30.8,30.7,30.9,30.8,194,2499,254,2538
6,28.96,298,11.1,1327.5,30.8,30.7,30.9,30.8,194,2499,254,2535
6,28.96,298,11,1327.5,30.6,30.6,30.7,30.6,193,2509,248,2535
6,27.62,298,11,1320.5,30.6,30.6,30.7,30.6,193,2509,248,2535
6,27.08,298,11,1320.5,30.4,30.4,30.5,30.4,193,2455,249,2532
6,29.35,298,11.2,1320.5,30.6,30.4,30.5,30.4,193,2543,249,2532
6,29.35,298,11.2,1351.5,30.6,30.6,30.7,30.6,193,2543,249,2532
6,29.35,298,11.7,1351.5,30.6,30.6,30.7,30.6,193,2524,249,2530
6,27.43,298,11.7,1350.3,30.6,30.6,30.7,30.6,193,2534,244,2527
6,27.43,298,11.2,1350.3,30.6,30.6,30.5,30.6,192,2534,244,2527
6,25.9,298,11.2,1346.9,30.4,30.4,30.5,30.4,192,2427,244,2527
6,27.26,298,11,1346.9,30.4,30.4,30.5,30.4,192,2427,244,2526
6,27.26,298,10.8,1313,30,30.4,30.4,30.3,192,2427,232,2526
6,23.85,298,10.8,1287.9,30,29.9,30,29.9,192,2487,220,2526
6,27.95,298,10.8,1287.9,30,29.9,30,29.9,192,2487,220,2526
6,27.95,298,10.8,1302,29.8,29.5,29.6,29.5,191,2487,223,2526
6,22.89,298,10.8,1302,29.5,29.5,29.6,29.5,191,2341,173,2526
6,23.2,298,11,1332.6,29.5,29.5,29.5,29.5,191,2446,173,2529
6,23.2,298,11.4,1343.3,29.3,29.5,29.5,29.1,191,2446,161,2529
6,25.26,298,11.4,1343.3,29.3,29.2,29.5,29.1,190,2669,139,2529
6,25.26,298,11.8,1417.1,29.6,29.6,29.5,29.6,190,2669,139,2532
6,31.91,298,11.8,1452.4,29.6,30.3,30.3,30.3,190,2741,139,2532
6,31.91,298,12.3,1452.4,30.3,30.3,30.3,30.3,197,2741,127,2533
6,28.92,298,12.3,1434.2,30.6,30.6,30.3,30.3,197,2741,121,2533
6,28.92,298,12.3,1434.2,30.6,30.6,30.8,30.6,198,2679,121,2532
6,31.1,298,11.7,1403,30.8,30.7,30.8,30.7,202,2679,154,2532
6,26.47,298,11.7,1403,30.8,30.7,30.8,30.7,202,2613,154,2532
6,26.47,298,11.5,1368,30.8,30.7,30.8,30.7,207,2613,185,2529
6,22.39,298,11.5,1347.8,30.8,30.7,30.8,31.1,207,2695,185,2529
6,22.39,298,11.5,1347.8,31.1,30.7,31.1,31.1,211,2615,185,2521
6,28.4,298,11.5,1378.8,31.1,31,31.1,31.3,211,2615,196,2521
6,23.88,298,11.5,1378.8,31.2,31,31,31.3,211,2564,196,2521
6,23.88,298,11.1,1325.1,31.2,30.9,31.4,31.3,214,2564,170,2521
6,23.57,298,11,1325.1,31.1,30.9,31.4,30.8,214,2571,151,2521
6,23.57,298,10.7,1305,31.1,31.1,31.1,31.1,214,2555,151,2517
6,24.11,298,10.8,1274.9,30.8,31.1,31.1,31.1,216,2555,127,2517
6,24.11,298,10.8,1274.9,30.8,30.8,30.9,30.8,217,2482,127,2517
6,22.2,298,10.2,1253.6,30.8,30.8,30.9,30.8,220,2482,127,2517
6,22.2,298,10.2,1253.6,30.8,30.1,30.9,30.1,220,2482,132,2513
